16	8	E	-2151012.512463374	200
emissionprobs	8	2	H3K4me1	0	0.9993824778006046
emissionprobs	8	2	H3K4me1	1	6.175221993953622E-4
emissionprobs	8	3	H3K4me3	0	0.999220575895185
emissionprobs	8	3	H3K4me3	1	7.794241048150417E-4
emissionprobs	8	4	H3K9me3	0	0.7428824058775131
emissionprobs	8	4	H3K9me3	1	0.25711759412248686
emissionprobs	8	5	H3k27me3	0	0.9960928072870566
emissionprobs	8	5	H3k27me3	1	0.0039071927129432854
emissionprobs	8	6	Pol2	0	0.9959276791299765
emissionprobs	8	6	Pol2	1	0.004072320870023573
emissionprobs	8	7	p300	0	0.994995844073763
emissionprobs	8	7	p300	1	0.005004155926236947
emissionprobs	9	0	H3K27ac	0	0.9990518053324023
emissionprobs	9	0	H3K27ac	1	9.481946675976757E-4
emissionprobs	9	1	H3K36me3	0	0.9954718642843237
emissionprobs	9	1	H3K36me3	1	0.004528135715676343
emissionprobs	9	2	H3K4me1	0	0.9991564844187851
emissionprobs	9	2	H3K4me1	1	8.435155812149041E-4
emissionprobs	9	3	H3K4me3	0	0.9992063938501693
emissionprobs	9	3	H3K4me3	1	7.936061498306945E-4
emissionprobs	9	4	H3K9me3	0	0.9968062367275208
emissionprobs	9	4	H3K9me3	1	0.003193763272479193
emissionprobs	9	5	H3k27me3	0	0.9984890143024251
emissionprobs	9	5	H3k27me3	1	0.0015109856975749085
emissionprobs	9	6	Pol2	0	0.9991705247498872
emissionprobs	9	6	Pol2	1	8.294752501127593E-4
emissionprobs	9	7	p300	0	0.9972915588777314
emissionprobs	9	7	p300	1	0.002708441122268701
emissionprobs	10	0	H3K27ac	0	0.995731524630293
emissionprobs	10	0	H3K27ac	1	0.004268475369706994
emissionprobs	10	1	H3K36me3	0	0.8685475731441303
emissionprobs	10	1	H3K36me3	1	0.13145242685586964
emissionprobs	10	2	H3K4me1	0	1.0
emissionprobs	10	2	H3K4me1	1	1.9327211670634193E-18
emissionprobs	10	3	H3K4me3	0	0.9997748503264525
emissionprobs	10	3	H3K4me3	1	2.2514967354738248E-4
emissionprobs	10	4	H3K9me3	0	0.9924844658068113
emissionprobs	10	4	H3K9me3	1	0.007515534193188714
emissionprobs	10	5	H3k27me3	0	0.9990613182926373
emissionprobs	10	5	H3k27me3	1	9.386817073626227E-4
emissionprobs	10	6	Pol2	0	0.9971741430122756
emissionprobs	10	6	Pol2	1	0.002825856987724392
emissionprobs	10	7	p300	0	0.9954785531149081
emissionprobs	10	7	p300	1	0.004521446885091997
emissionprobs	11	0	H3K27ac	0	0.9866937798373813
emissionprobs	11	0	H3K27ac	1	0.013306220162618754
emissionprobs	11	1	H3K36me3	0	0.1675583119833312
emissionprobs	11	1	H3K36me3	1	0.8324416880166688
emissionprobs	11	2	H3K4me1	0	0.9987060668103479
emissionprobs	11	2	H3K4me1	1	0.0012939331896520457
emissionprobs	11	3	H3K4me3	0	0.9997692497962772
emissionprobs	11	3	H3K4me3	1	2.3075020372276766E-4
emissionprobs	11	4	H3K9me3	0	0.9811700311892567
emissionprobs	11	4	H3K9me3	1	0.018829968810743353
emissionprobs	11	5	H3k27me3	0	0.9996099322692887
emissionprobs	11	5	H3k27me3	1	3.900677307113326E-4
emissionprobs	11	6	Pol2	0	0.9931423906576449
emissionprobs	11	6	Pol2	1	0.006857609342355126
emissionprobs	11	7	p300	0	0.9952983836347936
emissionprobs	11	7	p300	1	0.004701616365206422
emissionprobs	12	0	H3K27ac	0	0.17311685504333718
emissionprobs	12	0	H3K27ac	1	0.8268831449566628
emissionprobs	12	1	H3K36me3	0	0.2633843059870642
emissionprobs	12	1	H3K36me3	1	0.7366156940129358
emissionprobs	12	2	H3K4me1	0	0.4792145025430766
emissionprobs	12	2	H3K4me1	1	0.5207854974569234
emissionprobs	12	3	H3K4me3	0	0.9893463164912699
emissionprobs	12	3	H3K4me3	1	0.010653683508729984
emissionprobs	12	4	H3K9me3	0	0.9709008420578727
emissionprobs	12	4	H3K9me3	1	0.02909915794212732
emissionprobs	12	5	H3k27me3	0	0.9991616843673553
emissionprobs	12	5	H3k27me3	1	8.383156326447467E-4
emissionprobs	12	6	Pol2	0	0.9637863570140507
emissionprobs	12	6	Pol2	1	0.0362136429859493
emissionprobs	12	7	p300	0	0.8410331133065958
emissionprobs	12	7	p300	1	0.15896688669340425
emissionprobs	13	0	H3K27ac	0	0.42173939423354817
emissionprobs	13	0	H3K27ac	1	0.5782606057664519
emissionprobs	13	1	H3K36me3	0	0.9844232781055244
emissionprobs	13	1	H3K36me3	1	0.015576721894475495
emissionprobs	13	2	H3K4me1	0	0.9244387407186663
emissionprobs	13	2	H3K4me1	1	0.07556125928133371
